date,temp,rain_in,snow_in,pct_cloud_cover,traffic_volume,holiday,year,month_day,month,day,weekday
2012-10-31,36.95975000000005,0.0,0.0,14.583333333333334,86737.0,None,2012,10-31,10,31,Wednesday
2012-11-01,36.36050000000004,0.0,0.0,20.125,90283.0,None,2012,11-01,11,1,Thursday
2012-11-02,39.72125000000003,0.0,0.0,54.708333333333336,91305.0,None,2012,11-02,11,2,Friday
2012-11-03,32.40425000000005,0.0,0.0,59.208333333333336,67443.0,None,2012,11-03,11,3,Saturday
2012-11-04,37.93568000000004,0.01,0.0,90.0,58234.0,None,2012,11-04,11,4,Sunday
2012-11-05,38.61090909090915,0.0,0.0,56.77272727272727,77167.0,None,2012,11-05,11,5,Monday
2012-11-06,39.57393548387102,0.31,0.0,91.29032258064517,98248.0,None,2012,11-06,11,6,Tuesday
2012-11-07,40.14437209302327,0.0,0.0,90.0,152875.0,None,2012,11-07,11,7,Wednesday
2012-11-08,40.308500000000045,0.0,0.0,83.95833333333333,90705.0,None,2012,11-08,11,8,Thursday
2012-11-09,42.040250000000036,0.0,0.0,26.375,93127.0,None,2012,11-09,11,9,Friday
2012-11-10,42.97850000000003,0.24,0.0,45.0,67384.0,None,2012,11-10,11,10,Saturday
2012-11-11,48.936981132075495,0.02,0.0,77.81132075471699,101193.0,None,2012,11-11,11,11,Sunday
2012-11-12,34.48040000000004,0.01,0.2,92.88,74086.0,Veteran's Day,2012,11-12,11,12,Monday
2012-11-13,22.08560000000005,0.0,0.0,74.44,93197.0,None,2012,11-13,11,13,Tuesday
2012-11-14,29.594000000000026,0.0,0.0,34.916666666666664,95604.0,None,2012,11-14,11,14,Wednesday
2012-11-15,40.97339130434787,0.0,0.0,69.43478260869566,88701.0,None,2012,11-15,11,15,Thursday
2012-11-16,40.73750000000008,0.0,0.0,28.916666666666668,90657.0,None,2012,11-16,11,16,Friday
2012-11-17,32.7599130434783,0.0,0.0,15.91304347826087,63916.0,None,2012,11-17,11,17,Saturday
2012-11-18,46.10525000000004,0.0,0.0,55.5,55934.0,None,2012,11-18,11,18,Sunday
2012-11-19,50.33675000000003,0.0,0.0,57.166666666666664,84382.0,None,2012,11-19,11,19,Monday
2012-11-20,49.41200000000004,0.0,0.0,46.25,89479.0,None,2012,11-20,11,20,Tuesday
2012-11-21,38.698322580645204,0.0,0.0,17.838709677419356,124163.0,None,2012,11-21,11,21,Wednesday
2012-11-22,50.89700000000005,0.02,0.1,56.041666666666664,47386.0,Thanksgiving Day,2012,11-22,11,22,Thursday
2012-11-23,40.62800000000005,0.02,0.5,73.93939393939394,85336.0,None,2012,11-23,11,23,Friday
2012-11-24,21.50443478260873,0.0,0.0,78.78260869565217,53954.0,None,2012,11-24,11,24,Saturday
2012-11-25,19.36556521739135,0.0,0.0,53.34782608695652,54139.0,None,2012,11-25,11,25,Sunday
2012-11-26,28.15269565217395,0.0,0.0,88.52173913043478,76540.0,None,2012,11-26,11,26,Monday
2012-11-27,14.994500000000043,0.0,0.0,26.25,85147.0,None,2012,11-27,11,27,Tuesday
2012-11-28,24.719750000000023,0.0,0.0,47.916666666666664,85818.0,None,2012,11-28,11,28,Wednesday
2012-11-29,29.105130434782655,0.0,0.0,70.17391304347827,87058.0,None,2012,11-29,11,29,Thursday
2012-11-30,30.887913043478328,0.0,0.0,56.82608695652174,87308.0,None,2012,11-30,11,30,Friday
2012-12-01,32.89250000000005,0.0,0.0,90.0,121619.0,None,2012,12-01,12,1,Saturday
2012-12-02,40.44680000000006,0.0,0.0,88.33333333333333,75663.0,None,2012,12-02,12,2,Sunday
2012-12-03,33.47445714285719,0.02,0.0,65.45714285714286,115016.0,None,2012,12-03,12,3,Monday
2012-12-04,47.9806666666667,0.0,0.0,61.148148148148145,103001.0,None,2012,12-04,12,4,Tuesday
2012-12-05,29.43226086956526,0.0,0.0,4.3478260869565215,87489.0,None,2012,12-05,12,5,Wednesday
2012-12-06,27.968000000000035,0.0,0.0,72.5,90901.0,None,2012,12-06,12,6,Thursday
2012-12-07,39.74075000000004,0.05,0.8,71.45833333333333,89706.0,None,2012,12-07,12,7,Friday
2012-12-08,26.98769230769235,0.0,0.0,79.23076923076923,79458.0,None,2012,12-08,12,8,Saturday
2012-12-09,28.361652173913082,0.95,10.5,63.52173913043478,29008.0,None,2012,12-09,12,9,Sunday
2012-12-10,29.400208955223917,0.0,0.1,90.0,195340.0,None,2012,12-10,12,10,Monday
2012-12-11,9.646076923076972,0.0,0.1,69.61538461538461,79143.0,None,2012,12-11,12,11,Tuesday
2012-12-12,11.114413793103484,0.0,0.0,76.86206896551724,94193.0,None,2012,12-12,12,12,Wednesday
2012-12-13,26.27312000000004,0.0,0.0,74.8,87392.0,None,2012,12-13,12,13,Thursday
2012-12-14,28.88738461538467,0.0,0.0,51.53846153846154,97124.0,None,2012,12-14,12,14,Friday
2012-12-15,26.016080000000052,0.42,0.1,65.0,63738.0,None,2012,12-15,12,15,Saturday
2012-12-16,35.283555555555566,0.0,0.0,90.0,180334.0,None,2012,12-16,12,16,Sunday
2012-12-17,26.248666666666708,0.0,0.0,90.0,83970.0,None,2012,12-17,12,17,Monday
2012-12-18,22.27150000000003,0.0,0.0,90.0,144722.0,None,2012,12-18,12,18,Tuesday
2012-12-19,24.238318181818215,0.02,0.2,90.0,154038.0,None,2012,12-19,12,19,Wednesday
2012-12-20,27.712785714285758,0.02,0.5,87.42857142857143,98935.0,None,2012,12-20,12,20,Thursday
2012-12-21,21.48800000000004,0.0,0.0,78.51351351351352,127626.0,None,2012,12-21,12,21,Friday
2012-12-22,11.297000000000038,0.0,0.0,4.166666666666667,61985.0,None,2012,12-22,12,22,Saturday
2012-12-23,16.61860869565221,0.0,0.0,22.217391304347824,49031.0,None,2012,12-23,12,23,Sunday
2012-12-24,14.145500000000032,0.01,0.5,74.20833333333333,54436.0,None,2012,12-24,12,24,Monday
2012-12-25,13.066160000000039,0.0,0.0,48.4,40082.0,Christmas Day,2012,12-25,12,25,Tuesday
2012-12-26,2.7987500000000494,0.0,0.0,24.833333333333332,70787.0,None,2012,12-26,12,26,Wednesday
2012-12-27,8.38925000000004,0.09,1.0,49.041666666666664,75138.0,None,2012,12-27,12,27,Thursday
2012-12-28,14.94556250000005,0.06,1.2,81.46875,102880.0,None,2012,12-28,12,28,Friday
2012-12-29,18.6066829268293,0.0,0.0,78.65853658536585,96681.0,None,2012,12-29,12,29,Saturday
2012-12-30,12.659000000000031,0.0,0.0,58.464285714285715,66016.0,None,2012,12-30,12,30,Sunday
2012-12-31,10.632560000000037,0.0,0.0,39.12,75720.0,None,2012,12-31,12,31,Monday
2013-01-01,8.957000000000043,0.0,0.0,24.25,39817.0,New Year's Day,2013,01-01,1,1,Tuesday
2013-01-02,5.578666666666713,0.01,0.4,56.03703703703704,90601.0,None,2013,01-02,1,2,Wednesday
2013-01-03,16.36914285714292,0.0,0.6,87.0,148677.0,None,2013,01-03,1,3,Thursday
2013-01-04,13.843225806451656,0.0,0.0,56.806451612903224,105487.0,None,2013,01-04,1,4,Friday
2013-01-05,21.301368421052683,0.0,0.0,6.0,55251.0,None,2013,01-05,1,5,Saturday
2013-01-06,15.962642857142892,0.0,0.0,27.5,58381.0,None,2013,01-06,1,6,Sunday
2013-01-07,15.934250000000043,0.0,0.0,30.0,80652.0,None,2013,01-07,1,7,Monday
2013-01-08,27.733181818181865,0.0,0.0,61.13636363636363,74018.0,None,2013,01-08,1,8,Tuesday
2013-01-09,25.60820000000005,0.0,0.0,63.5,74978.0,None,2013,01-09,1,9,Wednesday
2013-01-10,27.98000000000002,0.28,0.0,9.444444444444445,24944.0,None,2013,01-10,1,10,Thursday
2013-01-11,33.352727272727314,0.02,0.0,66.81818181818181,109877.0,None,2013,01-11,1,11,Friday
2013-01-12,36.55505882352948,0.0,0.0,90.0,140880.0,None,2013,01-12,1,12,Saturday
2013-01-13,16.146285714285746,0.0,0.0,74.28571428571429,38604.0,None,2013,01-13,1,13,Sunday
2013-01-14,4.625000000000038,0.0,0.0,64.63333333333334,110040.0,None,2013,01-14,1,14,Monday
2013-01-15,7.424272727272774,0.0,0.0,28.09090909090909,73719.0,None,2013,01-15,1,15,Tuesday
2013-01-16,18.831363636363672,0.02,0.3,4.409090909090909,84035.0,None,2013,01-16,1,16,Wednesday
2013-01-17,24.60961538461542,0.0,0.0,56.15384615384615,99157.0,None,2013,01-17,1,17,Thursday
2013-01-18,11.906750000000025,0.01,0.1,53.875,87969.0,None,2013,01-18,1,18,Friday
2013-01-19,28.01450000000004,0.0,0.0,67.08333333333333,66082.0,None,2013,01-19,1,19,Saturday
2013-01-20,20.86200000000004,0.0,0.0,73.44444444444444,39631.0,None,2013,01-20,1,20,Sunday
2013-01-21,1.947714285714326,0.0,0.0,64.0952380952381,57331.0,Martin Luther King Jr. Day,2013,01-21,1,21,Monday
2013-01-22,-8.580526315789436,0.0,0.0,31.42105263157895,65215.0,None,2013,01-22,1,22,Tuesday
2013-01-23,-6.151818181818146,0.0,0.2,49.68181818181818,83333.0,None,2013,01-23,1,23,Wednesday
2013-01-24,6.205181818181859,0.0,0.0,61.59090909090909,82285.0,None,2013,01-24,1,24,Thursday
2013-01-25,0.8770000000000441,0.0,0.0,80.33333333333333,65526.0,None,2013,01-25,1,25,Friday
2013-01-26,15.653750000000056,0.0,0.0,81.875,16041.0,None,2013,01-26,1,26,Saturday
2013-01-27,13.612400000000038,0.49,3.0,68.73333333333333,28477.0,None,2013,01-27,1,27,Sunday
2013-01-28,28.810000000000052,0.0,0.0,82.5,60492.0,None,2013,01-28,1,28,Monday
2013-01-29,30.59600000000005,0.03,0.0,91.0,76910.0,None,2013,01-29,1,29,Tuesday
2013-01-30,31.897478260869608,0.0,0.0,90.34782608695652,90004.0,None,2013,01-30,1,30,Wednesday
2013-01-31,10.641363636363666,0.0,0.0,90.13636363636364,74542.0,None,2013,01-31,1,31,Thursday
2013-02-01,-7.135749999999952,0.06,2.0,88.04166666666667,85403.0,None,2013,02-01,2,1,Friday
2013-02-02,-6.687999999999964,0.03,0.7,48.875,67192.0,None,2013,02-02,2,2,Saturday
2013-02-03,0.13921739130437014,0.04,0.9,84.43478260869566,49492.0,None,2013,02-03,2,3,Sunday
2013-02-04,5.273000000000051,0.06,1.2,56.791666666666664,79753.0,None,2013,02-04,2,4,Monday
2013-02-05,6.53818181818187,0.05,1.2,54.0,76026.0,None,2013,02-05,2,5,Tuesday
2013-02-06,21.979684210526354,0.04,0.7,71.57894736842105,64135.0,None,2013,02-06,2,6,Wednesday
2013-02-07,17.866000000000042,0.0,0.0,69.16666666666667,67814.0,None,2013,02-07,2,7,Thursday
2013-02-08,25.05758620689659,0.0,0.0,90.0,100338.0,None,2013,02-08,2,8,Friday
2013-02-09,23.232105263157933,0.0,0.0,48.68421052631579,58724.0,None,2013,02-09,2,9,Saturday
2013-02-10,28.127652173913084,0.62,2.2,90.0,34176.0,None,2013,02-10,2,10,Sunday
2013-02-11,30.246867924528342,0.0,0.1,90.0,184535.0,None,2013,02-11,2,11,Monday
2013-02-12,26.07728000000004,0.0,0.0,90.0,81913.0,None,2013,02-12,2,12,Tuesday
2013-02-13,24.224900000000044,0.09,0.5,33.65,70715.0,None,2013,02-13,2,13,Wednesday
2013-02-14,30.18765714285718,0.09,1.1,84.14285714285714,126711.0,None,2013,02-14,2,14,Thursday
2013-02-15,26.150000000000027,0.0,0.0,67.24,78901.0,None,2013,02-15,2,15,Friday
2013-02-16,10.644173913043518,0.0,0.0,26.956521739130434,67101.0,None,2013,02-16,2,16,Saturday
2013-02-17,8.428307692307733,0.0,0.0,39.38461538461539,67234.0,None,2013,02-17,2,17,Sunday
2013-02-18,20.633000000000035,0.01,0.3,59.5,74809.0,Washington's Birthday,2013,02-18,2,18,Monday
2013-02-19,23.529714285714324,0.0,0.0,87.85714285714286,74957.0,None,2013,02-19,2,19,Tuesday
2013-02-20,4.3958750000000375,0.0,0.0,34.5625,56808.0,None,2013,02-20,2,20,Wednesday
2013-02-21,5.651600000000035,0.0,0.0,35.2,79255.0,None,2013,02-21,2,21,Thursday
2013-02-22,13.508750000000042,0.24,4.2,73.66666666666667,73732.0,None,2013,02-22,2,22,Friday
2013-02-23,21.978153846153884,0.0,0.0,90.17948717948718,90107.0,None,2013,02-23,2,23,Saturday
2013-02-24,22.949724137931078,0.0,0.0,86.89655172413794,60534.0,None,2013,02-24,2,24,Sunday
2013-02-25,18.37632258064519,0.0,0.0,60.0,96105.0,None,2013,02-25,2,25,Monday
2013-02-26,26.115285714285754,0.0,0.0,52.67857142857143,103904.0,None,2013,02-26,2,26,Tuesday
2013-02-27,23.95982352941181,0.0,0.0,65.94117647058823,130942.0,None,2013,02-27,2,27,Wednesday
2013-02-28,31.239263157894783,0.0,0.0,86.05263157894737,66710.0,None,2013,02-28,2,28,Thursday
2013-03-01,27.944521739130465,0.0,0.0,88.69565217391305,90698.0,None,2013,03-01,3,1,Friday
2013-03-02,23.92895652173917,0.0,0.0,66.0,69385.0,None,2013,03-02,3,2,Saturday
2013-03-03,19.344363636363685,0.0,0.0,27.636363636363637,56799.0,None,2013,03-03,3,3,Sunday
2013-03-04,25.870100000000026,0.34,3.9,70.75,61653.0,None,2013,03-04,3,4,Monday
2013-03-05,24.780000000000054,0.41,5.4,90.0,67892.0,None,2013,03-05,3,5,Tuesday
2013-03-06,25.12688000000003,0.0,0.0,85.8,78973.0,None,2013,03-06,3,6,Wednesday
2013-03-07,21.22812500000005,0.0,0.0,61.4375,55751.0,None,2013,03-07,3,7,Thursday
2013-03-08,17.430285714285755,0.0,0.0,46.42857142857143,98409.0,None,2013,03-08,3,8,Friday
2013-03-09,27.99950000000004,0.61,0.0,25.85,52390.0,None,2013,03-09,3,9,Saturday
2013-03-10,34.95280000000005,0.01,0.0,89.66666666666667,101847.0,None,2013,03-10,3,10,Sunday
2013-03-11,33.50260869565222,0.0,0.0,90.0,60972.0,None,2013,03-11,3,11,Monday
2013-03-12,27.62323076923081,0.0,0.0,85.0,49845.0,None,2013,03-12,3,12,Tuesday
2013-03-13,24.85400000000004,0.0,0.0,68.0,53298.0,None,2013,03-13,3,13,Wednesday
2013-03-14,21.266000000000055,0.06,0.6,2.2666666666666666,51700.0,None,2013,03-14,3,14,Thursday
2013-03-15,29.780375000000042,0.19,0.8,56.1875,58585.0,None,2013,03-15,3,15,Friday
2013-03-16,30.990200000000026,0.0,0.0,82.4,97894.0,None,2013,03-16,3,16,Saturday
2013-03-17,21.398000000000046,0.0,0.0,39.92857142857143,31553.0,None,2013,03-17,3,17,Sunday
2013-03-18,18.16769230769234,0.23,3.1,46.61538461538461,36201.0,None,2013,03-18,3,18,Monday
2013-03-19,24.002857142857163,0.0,0.0,89.46428571428571,120181.0,None,2013,03-19,3,19,Tuesday
2013-03-20,14.004090909090946,0.0,0.0,10.136363636363637,84165.0,None,2013,03-20,3,20,Wednesday
2013-03-21,12.713000000000042,0.0,0.0,1.7916666666666667,91696.0,None,2013,03-21,3,21,Thursday
2013-03-22,15.300500000000044,0.0,0.0,1.1666666666666667,93059.0,None,2013,03-22,3,22,Friday
2013-03-23,21.94325000000005,0.0,0.0,4.25,74477.0,None,2013,03-23,3,23,Saturday
2013-03-24,27.81500000000004,0.0,0.0,9.583333333333334,59275.0,None,2013,03-24,3,24,Sunday
2013-03-25,29.158076923076962,0.0,0.0,86.53846153846153,94098.0,None,2013,03-25,3,25,Monday
2013-03-26,30.15425000000003,0.0,0.0,17.0,84117.0,None,2013,03-26,3,26,Tuesday
2013-03-27,31.58286956521744,0.0,0.0,69.34782608695652,84465.0,None,2013,03-27,3,27,Wednesday
2013-03-28,32.21225000000003,0.0,0.0,27.958333333333332,88677.0,None,2013,03-28,3,28,Thursday
2013-03-29,32.84225000000004,0.0,0.0,23.625,87371.0,None,2013,03-29,3,29,Friday
2013-03-30,38.25875000000003,0.19,0.0,55.666666666666664,64400.0,None,2013,03-30,3,30,Saturday
2013-03-31,42.21718918918921,0.0,0.0,63.729729729729726,72590.0,None,2013,03-31,3,31,Sunday
2013-04-01,33.27285714285717,0.0,0.0,50.0,72290.0,None,2013,04-01,4,1,Monday
2013-04-02,24.97775000000004,0.0,0.0,1.0,88319.0,None,2013,04-02,4,2,Tuesday
2013-04-03,27.15575000000004,0.0,0.0,5.041666666666667,91300.0,None,2013,04-03,4,3,Wednesday
2013-04-04,32.91408695652177,0.0,0.0,7.608695652173913,89685.0,None,2013,04-04,4,4,Thursday
2013-04-05,42.68965217391309,0.07,0.0,32.73913043478261,86980.0,None,2013,04-05,4,5,Friday
2013-04-06,34.51662500000005,0.09,0.0,58.09375,104007.0,None,2013,04-06,4,6,Saturday
2013-04-07,41.74756250000004,0.19,0.0,71.09375,87275.0,None,2013,04-07,4,7,Sunday
2013-04-08,40.45441379310349,0.52,0.0,73.17241379310344,92919.0,None,2013,04-08,4,8,Monday
2013-04-09,41.035590909090956,0.48,0.7,90.0,140982.0,None,2013,04-09,4,9,Tuesday
2013-04-10,37.39070967741939,0.09,0.7,89.51612903225806,111378.0,None,2013,04-10,4,10,Wednesday
2013-04-11,34.00306250000005,0.76,4.4,90.3125,77408.0,None,2013,04-11,4,11,Thursday
2013-04-12,32.73869230769235,0.06,0.6,90.0,222995.0,None,2013,04-12,4,12,Friday
2013-04-13,30.54380000000004,0.01,0.2,90.0,100250.0,None,2013,04-13,4,13,Saturday
2013-04-14,31.11920000000003,0.46,0.2,84.06666666666666,54096.0,None,2013,04-14,4,14,Sunday
2013-04-15,32.054486486486525,0.0,0.0,84.78378378378379,150100.0,None,2013,04-15,4,15,Monday
2013-04-16,35.612750000000034,0.0,0.0,70.125,89497.0,None,2013,04-16,4,16,Tuesday
2013-04-17,37.35539130434786,0.26,0.0,66.78260869565217,84242.0,None,2013,04-17,4,17,Wednesday
2013-04-18,36.342285714285744,1.02,6.4,85.26190476190476,103497.0,None,2013,04-18,4,18,Thursday
2013-04-19,32.48600000000003,0.12,0.9,90.0,210619.0,None,2013,04-19,4,19,Friday
2013-04-20,31.607600000000048,0.0,0.0,77.45714285714286,91162.0,None,2013,04-20,4,20,Saturday
2013-04-21,31.11800000000005,0.15,0.0,2.5,58420.0,None,2013,04-21,4,21,Sunday
2013-04-22,40.40950000000005,0.82,3.5,89.16666666666667,115291.0,None,2013,04-22,4,22,Monday
2013-04-23,35.4900434782609,0.02,0.3,88.69565217391305,174173.0,None,2013,04-23,4,23,Tuesday
2013-04-24,33.93757142857148,0.0,0.0,52.357142857142854,85793.0,None,2013,04-24,4,24,Wednesday
2013-04-25,37.38892307692312,0.0,0.0,43.07692307692308,105507.0,None,2013,04-25,4,25,Thursday
2013-04-26,40.601000000000035,0.02,0.0,64.375,94131.0,None,2013,04-26,4,26,Friday
2013-04-27,56.61968000000004,0.0,0.0,30.16,74851.0,None,2013,04-27,4,27,Saturday
2013-04-28,58.80800000000004,0.08,0.0,3.4166666666666665,63595.0,None,2013,04-28,4,28,Sunday
2013-04-29,63.980750000000036,0.0,0.0,16.375,87105.0,None,2013,04-29,4,29,Monday
2013-04-30,60.74300000000006,0.0,0.0,14.458333333333334,90075.0,None,2013,04-30,4,30,Tuesday
2013-05-01,64.17695652173917,0.35,0.0,36.78260869565217,85211.0,None,2013,05-01,5,1,Wednesday
2013-05-02,40.628585365853695,0.0,0.0,87.8048780487805,179872.0,None,2013,05-02,5,2,Thursday
2013-05-03,39.65432000000004,0.2,0.5,51.12,92250.0,None,2013,05-03,5,3,Friday
2013-05-04,34.929959183673525,0.08,0.0,79.10204081632654,176130.0,None,2013,05-04,5,4,Saturday
2013-05-05,38.45768000000004,0.0,0.0,88.8,63804.0,None,2013,05-05,5,5,Sunday
2013-05-06,49.24250000000003,0.0,0.0,53.208333333333336,86682.0,None,2013,05-06,5,6,Monday
2013-05-07,59.41850000000005,0.0,0.0,8.125,92101.0,None,2013,05-07,5,7,Tuesday
2013-05-08,64.42250000000006,0.12,0.0,16.916666666666668,90104.0,None,2013,05-08,5,8,Wednesday
2013-05-09,63.947882352941235,0.1,0.0,61.85294117647059,128416.0,None,2013,05-09,5,9,Thursday
2013-05-10,53.54184615384619,0.0,0.0,88.84615384615384,99776.0,None,2013,05-10,5,10,Friday
2013-05-11,51.00350000000004,0.0,0.0,19.458333333333332,52496.0,None,2013,05-11,5,11,Saturday
2013-05-12,47.615360000000045,0.0,0.0,48.08,46110.0,None,2013,05-12,5,12,Sunday
2013-05-13,45.797750000000036,0.01,0.0,1.0,86515.0,None,2013,05-13,5,13,Monday
2013-05-14,54.51275000000004,0.0,0.0,31.416666666666668,91484.0,None,2013,05-14,5,14,Tuesday
2013-05-15,72.53375000000004,0.0,0.0,15.875,92334.0,None,2013,05-15,5,15,Wednesday
2013-05-16,67.10750000000003,0.0,0.0,15.125,92107.0,None,2013,05-16,5,16,Thursday
2013-05-17,69.23026086956524,0.25,0.0,9.130434782608695,86036.0,None,2013,05-17,5,17,Friday
2013-05-18,59.04288235294121,1.47,0.0,90.0,112122.0,None,2013,05-18,5,18,Saturday
2013-05-19,60.525153846153856,1.16,0.0,68.75,120080.0,None,2013,05-19,5,19,Sunday
2013-05-20,67.64460465116285,0.6,0.0,74.27906976744185,180976.0,None,2013,05-20,5,20,Monday
2013-05-21,64.66123076923081,0.07,0.0,79.51282051282051,138453.0,None,2013,05-21,5,21,Tuesday
2013-05-22,55.22919148936173,0.13,0.0,88.29787234042553,167875.0,None,2013,05-22,5,22,Wednesday
2013-05-23,49.2278461538462,0.0,0.0,90.0,152199.0,None,2013,05-23,5,23,Thursday
2013-05-24,53.25875000000005,0.16,0.0,4.875,86506.0,None,2013,05-24,5,24,Friday
2013-05-25,55.08733333333336,0.0,0.0,34.2962962962963,66775.0,None,2013,05-25,5,25,Saturday
2013-05-26,56.41492307692314,0.0,0.0,89.42307692307692,51576.0,None,2013,05-26,5,26,Sunday
2013-05-27,55.583750000000045,0.05,0.0,86.66666666666667,47207.0,Memorial Day,2013,05-27,5,27,Monday
2013-05-28,56.9766666666667,0.06,0.0,89.44444444444444,91766.0,None,2013,05-28,5,28,Tuesday
2013-05-29,56.013862068965544,0.92,0.0,90.0,121082.0,None,2013,05-29,5,29,Wednesday
2013-05-30,65.18300000000004,0.26,0.0,77.66666666666667,114183.0,None,2013,05-30,5,30,Thursday
2013-05-31,67.61400000000003,0.25,0.0,75.91666666666667,110005.0,None,2013,05-31,5,31,Friday
2013-06-01,67.34557142857146,0.06,0.0,44.785714285714285,72545.0,None,2013,06-01,6,1,Saturday
2013-06-02,60.78130769230773,0.0,0.0,72.23076923076923,72473.0,None,2013,06-02,6,2,Sunday
2013-06-03,56.20175000000004,0.0,0.0,46.958333333333336,86735.0,None,2013,06-03,6,3,Monday
2013-06-04,59.07350000000003,0.02,0.0,34.291666666666664,88972.0,None,2013,06-04,6,4,Tuesday
2013-06-05,58.77440000000006,0.15,0.0,89.46666666666667,110133.0,None,2013,06-05,6,5,Wednesday
2013-06-06,55.59500000000002,0.0,0.0,77.20833333333333,195410.0,None,2013,06-06,6,6,Thursday
2013-06-07,52.66940000000004,0.0,0.0,79.2,121360.0,None,2013,06-07,6,7,Friday
2013-06-08,57.617000000000054,0.0,0.0,67.5,67975.0,None,2013,06-08,6,8,Saturday
2013-06-09,62.78864000000003,0.54,0.0,64.0,61029.0,None,2013,06-09,6,9,Sunday
2013-06-10,59.166114285714336,0.0,0.0,89.14285714285714,147542.0,None,2013,06-10,6,10,Monday
2013-06-11,64.3117419354839,0.0,0.0,40.25806451612903,111220.0,None,2013,06-11,6,11,Tuesday
2013-06-12,65.31542857142863,0.59,0.0,20.714285714285715,103535.0,None,2013,06-12,6,12,Wednesday
2013-06-13,64.93668421052635,0.0,0.0,67.89473684210526,139085.0,None,2013,06-13,6,13,Thursday
2013-06-14,67.79525000000002,0.01,0.0,4.333333333333333,92567.0,None,2013,06-14,6,14,Friday
2013-06-15,68.56850000000004,0.02,0.0,36.5,66871.0,None,2013,06-15,6,15,Saturday
2013-06-16,69.64979310344833,0.01,0.0,66.37931034482759,81991.0,None,2013,06-16,6,16,Sunday
2013-06-17,69.87061538461543,0.0,0.0,0.9230769230769231,90719.0,None,2013,06-17,6,17,Monday
2013-06-18,69.48500000000004,0.0,0.0,15.333333333333334,92900.0,None,2013,06-18,6,18,Tuesday
2013-06-19,62.657000000000046,0.0,0.0,27.25,38153.0,None,2013,06-19,6,19,Wednesday
2013-06-20,72.41000000000004,0.0,0.0,6.8,43868.0,None,2013,06-20,6,20,Thursday
2013-06-21,76.92800000000005,2.5,0.0,46.0,14531.0,None,2013,06-21,6,21,Friday
