"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT13","WT14","WT15","WT16","WT17","WT18","WT22"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-10-12","7.16",,"0.00","0.0","0.0",,"53","28","  160","  160","17.9","23.0",,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-10-13","6.71",,"0.04","0.0","0.0",,"53","47","  170","  170","19.9","25.9",,,,,,,,,"    1","    1",,"    1",,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-10-14","10.74",,"0.00","0.0","0.0",,"59","45","  350","  360","23.0","29.1",,,,,,,"    1",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-10-15","5.59",,"0.00","0.0","0.0",,"61","38","  160","  160","14.1","17.0",,,,,,,,,,,,"    1",,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-10-16","6.04",,"0.00","0.0","0.0",,"65","52","  160","  160","15.0","19.9",,,,,,,,,,,,"    1",,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-10-17","11.18",,"0.00","0.0","0.0",,"62","47","  220","  240","25.9","34.9",,,,,,,"    1",,,"    1",,"    1",,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-10-18","2.68",,"0.01","0.0","0.0",,"50","43","  250","  270","12.1","14.1","    1",,,,,,,,"    1","    1",,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-10-19","4.47",,"0.21","0.0","0.0",,"52","38","   30","   30","15.0","25.9",,,,,,,,,"    1","    1",,"    1",,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-10-20","4.03",,"0.00","0.0","0.0",,"54","34","  170","  180","14.1","17.0","    1","    1",,,,,,,"    1",,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-10-21","8.50",,"0.00","0.0","0.0",,"71","42","  160","  160","21.9","28.0","    1",,,,,,,,"    1",,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-10-22","10.29",,"0.00","0.0","0.0",,"64","50","   60","   50","19.9","30.0",,,,,,,,,"    1","    1",,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-10-23","8.28",,"0.08","0.0","0.0",,"65","55","  100","  100","17.0","21.9",,,,,,,"    1",,"    1","    1",,"    1",,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-10-24","8.50",,"0.18","0.0","0.0",,"60","47","  340","   10","21.0","30.0",,,"    1",,,,,,"    1","    1",,"    1",,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-10-25","16.55",,"0.75","0.0","0.0",,"47","35","  330","  310","25.9","36.0","    1",,,,,,,,"    1",,,"    1",,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-10-26","11.63",,"0.00","0.0","0.0",,"39","32","  280","  280","21.9","30.0",,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-10-27","3.80",,"0.00","0.0","0.0",,"43","28","  220","  240","14.1","17.0",,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-10-28","5.14",,"0.00","0.0","0.0",,"46","29","  150","  150","12.1","21.0",,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-10-29","5.82",,"0.00","0.0","0.0",,"45","31","  100","  120","13.0","16.1",,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-10-30","6.71",,"0.00","0.0","0.0",,"50","28","   10","   10","16.1","25.1",,,,,,,"    1",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-10-31","4.25",,"0.00","0.0","0.0",,"52","25","  320","   10","13.0","21.9",,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-11-01","9.40",,"0.00","0.0","0.0",,"47","31","  350","  360","17.9","23.9",,,,,,,"    1",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-11-02","3.58",,"0.00","0.0","0.0",,"39","27","   30","   40","10.1","21.0",,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-11-03","3.58",,"0.00","0.0","0.0",,"43","37","   70","   80","8.1","13.0",,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-11-04","4.92",,"0.01","0.0","0.0",,"45","30","  100","  100","14.1","17.0",,,,,,,"    1",,,"    1",,"    1",,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-11-05","6.93",,"0.00","0.0","0.0",,"45","38","  200","  200","16.1","21.9",,,,,,,"    1",,,"    1",,"    1",,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-11-06","10.74",,"0.31","0.0","0.0",,"44","38","  320","  340","19.9","25.1",,,,,,,,,"    1","    1",,"    1",,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-11-07","5.59",,"0.00","0.0","0.0",,"47","38","  340","  340","13.0","16.1",,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-11-08","7.61",,"0.00","0.0","0.0",,"54","34","  220","  230","17.0","23.0",,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-11-09","10.96",,"0.00","0.0","0.0",,"55","35","  100","  100","21.0","28.0",,,,,,,"    1",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-11-10","13.42",,"0.24","0.0","0.0",,"69","44","  270","  270","32.0","42.9",,,"    1",,,,"    1",,,"    1",,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-11-11","14.54",,"0.02","0.0","0.0",,"56","22","  270","  260","21.9","29.1",,,,"    1",,,,,,"    1",,"    1",,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-11-12","12.08",,"0.01","0.2","0.0",,"27","19","  270","  250","23.0","29.1",,,,,,,,,"    1",,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-11-13","5.59",,"0.00","0.0","0.0",,"43","18","  190","  190","13.0","16.1",,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-11-14","4.92",,"0.00","0.0","0.0",,"51","34","  160","  170","8.9","13.0",,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-11-15","7.83",,"0.00","0.0","0.0",,"53","29","  320","  360","17.0","21.9",,,,,,,,,,,,"    1",,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-11-16","4.70",,"0.00","0.0","0.0",,"44","23","  140","  140","12.1","14.1",,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-11-17","10.29",,"0.00","0.0","0.0",,"54","32","  160","  160","17.9","23.9",,,,,,,"    1",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-11-18","10.51",,"0.00","0.0","0.0",,"57","43","  160","  160","17.9","23.0",,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-11-19","5.14",,"0.00","0.0","0.0",,"59","38","  160","  170","14.1","17.9",,,,,,,"    1",,,,,"    1",,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-11-20","4.47",,"0.00","0.0","0.0",,"54","33","  340","  340","15.0","17.9",,,,,,,,,"    1",,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-11-21","7.83",,"0.00","0.0","0.0",,"62","38","  180","  200","17.0","25.1",,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-11-22","14.99",,"0.02","0.1","0.0",,"60","24","  280","  280","36.0","45.0",,,,,,,,,"    1",,,"    1",,"    1","    1"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-11-23","17.00",,"0.02","0.5","1.0",,"27","14","  320","  310","30.0","38.9","    1",,,,,,,,"    1",,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-11-24","6.04",,"0.00","0.0","0.0",,"30","11","  160","  170","17.0","21.0",,,,,,,,,,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-11-25","10.07",,"0.00","0.0","0.0",,"30","23","  310","  310","21.9","30.0",,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-11-26","8.28",,"0.00","0.0","0.0",,"23","10","  310","  320","23.0","30.0",,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-11-27","6.71",,"0.00","0.0","0.0",,"39","16","  220","  200","15.0","19.9",,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-11-28","5.82",,"0.00","0.0","0.0",,"36","25","  310","  310","15.0","21.0",,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-11-29","7.16",,"0.00","0.0","0.0",,"40","23","   50","   80","15.0","23.0",,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-11-30","9.17",,"0.00","0.0","0.0",,"36","31","  120","  130","16.1","19.9",,,,,,,"    1",,"    1",,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-12-01","6.71",,"0.00","0.0","0.0",,"48","34","  150","  140","19.9","23.0",,,,,,,"    1",,"    1",,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-12-02","5.59",,"0.00","0.0","0.0",,"40","29","  120","  120","16.1","19.9","    1","    1",,,,,,,"    1",,,,,,"    1"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-12-03","10.96",,"0.02","0.0","0.0",,"55","37","  290","  290","21.0","28.0",,,,,,,,,"    1","    1",,"    1",,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-12-04","9.84",,"0.00","0.0","0.0",,"45","21","  270","  270","21.0","25.9",,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-12-05","13.20",,"0.00","0.0","0.0",,"40","19","  140","  160","25.1","32.0",,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-12-06","11.41",,"0.00","0.0","0.0",,"46","27","  160","  160","19.9","28.0",,,,,,,,,,,,"    1",,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-12-07","4.70",,"0.05","0.8","0.0",,"32","24","   10","   30","12.1","16.1","    1",,,,,,,,"    1",,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-12-08","5.59",,"0.00","0.0","1.0",,"33","25","  110","  100","15.0","16.1","    1",,,,,,,,"    1",,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-12-09","13.20",,"0.95","10.5","2.0",,"32","20","  330","  330","21.9","29.1",,"    1",,,,,,,"    1",,,,,"    1","    1"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-12-10","7.83",,"0.00","0.1","9.0",,"20","2","  330","  330","21.9","28.0","    1",,,,,,,,"    1",,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-12-11","4.03",,"0.00","0.1","8.0",,"20","4","  250","  240","10.1","15.0",,,,,,,,,"    1",,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-12-12","7.61",,"0.00","0.0","8.0",,"43","12","  200","  210","15.0","23.0",,,,,,,,,"    1",,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-12-13","3.80",,"0.00","0.0","6.0",,"40","24","  200","  190","12.1","17.9",,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-12-14","8.72",,"0.00","0.0","6.0",,"39","20","  110","  110","17.0","21.0","    1",,,,,,,,"    1",,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-12-15","8.50",,"0.42","0.1","4.0",,"39","33","  130","  130","21.0","25.1","    1",,,,,,,,,"    1",,"    1",,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-12-16","9.17",,"0.00","0.0","1.0",,"34","20","  290","  350","15.0","19.9","    1",,,,,,,,"    1",,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-12-17","3.36",,"0.00","0.0","1.0",,"25","20","  360","  360","8.9","12.1",,,,,,,"    1",,"    1",,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-12-18","4.25",,"0.00","0.0","1.0",,"29","23","   80","   40","12.1","16.1",,,,,,,"    1",,"    1",,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-12-19","6.04",,"0.02","0.2","1.0",,"32","27","  280","   20","14.1","23.0","    1",,,,,,,,"    1",,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-12-20","17.67",,"0.02","0.5","1.0",,"28","13","  320","  340","25.9","34.9","    1",,,,,,,,"    1",,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-12-21","7.61",,"0.00","0.0","1.0",,"21","9","  330","  320","17.9","23.0",,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-12-22","3.80",,"0.00","0.0","1.0",,"29","9","  350","   10","16.1","19.9",,,,,,,,,"    1",,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-12-23","8.72",,"0.00","0.0","1.0",,"19","10","   20","   30","16.1","25.1",,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-12-24","10.29",,"0.01","0.5","1.0",,"18","6","  350","   20","15.0","21.0",,,,,,,,,"    1",,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-12-25","5.59",,"0.00","0.0","1.0",,"13","0","  340","  350","12.1","15.0",,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-12-26","4.03",,"0.00","0.0","1.0",,"19","5","  350","   30","8.1","23.0",,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-12-27","3.58",,"0.09","1.0","1.0",,"21","8","   80","   90","10.1","16.1",,,,,,,,,"    1",,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-12-28","4.70",,"0.06","1.2","3.0",,"26","13","  360","   20","8.9","17.0",,,,,,,,,"    1",,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-12-29","6.71",,"0.00","0.0","3.0",,"19","5","  250","  250","13.0","16.1",,,,,,,"    1",,"    1",,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-12-30","5.14",,"0.00","0.0","3.0",,"25","1","  280","  280","12.1","15.0",,,,,,,,,"    1",,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2012-12-31","9.17",,"0.00","0.0","3.0",,"18","1","  320","  320","21.9","29.1",,,,,,,"    1",,,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2013-01-01","4.70",,"0.00","0.0","3.0",,"20","-5","  220","  210","13.0","16.1","    1",,,,,,,,,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2013-01-02","5.14",,"0.01","0.4","3.0",,"21","14","  210","  210","13.0","16.1","    1",,,,,,,,"    1",,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2013-01-03","9.40",,"0.00","0.6","3.0",,"22","11","  310","  230","16.1","19.9","    1",,,,,,,,"    1",,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2013-01-04","6.04",,"0.00","0.0","3.0",,"30","16","  230","  220","14.1","19.9",,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2013-01-05","6.26",,"0.00","0.0","3.0",,"26","10","  320","  310","14.1","16.1",,,,,,,"    1",,"    1",,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2013-01-06","6.49",,"0.00","0.0","3.0",,"24","10","  300","  310","13.0","16.1",,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2013-01-07","8.50",,"0.00","0.0","3.0",,"36","15","  210","  220","21.9","29.1",,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2013-01-08","7.61",,"0.00","0.0","3.0",,"35","16","  220","  220","16.1","21.0","    1",,,,,,,,"    1",,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2013-01-09","11.86",,"0.00","0.0","3.0",,"35","25","  280","  290","25.1","40.0",,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2013-01-10","10.29",,"0.28","0.0","2.0",,"39","24","  130","  120","19.9","23.0","    1",,,,,,,,"    1","    1",,"    1",,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2013-01-11","8.95",,"0.02","0.0","1.0",,"41","34","  220","  220","17.0","21.9","    1",,,,,,,,"    1","    1",,"    1",,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2013-01-12","15.21",,"0.00","0.0","0.0",,"39","5","  250","  250","29.1","38.0",,,,,,,,,"    1",,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2013-01-13","8.05",,"0.00","0.0","0.0",,"9","2","  280","  280","14.1","16.1",,,,,,,"    1",,,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2013-01-14","6.04",,"0.00","0.0","0.0",,"14","5","  260","  250","14.1","17.0",,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2013-01-15","7.83",,"0.00","0.0","0.0",,"30","10","  220","  210","17.0","23.9",,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2013-01-16","12.30",,"0.02","0.3","0.0",,"36","14","  280","  290","21.9","25.9",,,,,,,,,"    1",,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2013-01-17","6.71",,"0.00","0.0","0.0",,"20","6","  320","  340","16.1","21.0",,,,,,,,,,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2013-01-18","9.17",,"0.01","0.1","0.0",,"41","17","  260","  210","17.0","21.9","    1",,,,,,,,"    1",,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2013-01-19","14.09",,"0.00","0.0","0.0",,"39","2","  280","  280","45.0","55.0",,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","44.88523","-93.23133","254.5","2013-01-20","11.41",,"0.00","0.0","0.0",,"9","-2","  320","  290","21.0","28.0",,,,,,,,,,,,,,"    1",
